Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
961802,843PFC23    ,1128.00,1128.00,1128.00,1128.00,50.00,1,56400.00,INE134E07422,1000.00,8.43                     ,
961883,844IRFC24   ,1100.35,1117.00,1100.25,1117.00,1100.00,3,1215350.00,INE053F07736,1000.00,8.44                     ,
961873,844REC24    ,1130.38,1147.00,1130.25,1147.00,837.00,4,946684.00,INE020B07IF7,1000.00,8.44                     ,
961829,848IRFC24   ,1219.00,1219.00,1219.00,1219.00,3.00,1,3657.00,INE053F07678,1000.00,8.48                     ,
972862,848IRFC28C  ,1268289.58,1268289.58,1268289.58,1268289.58,4.00,1,5073158.00,INE053F07645,1000000.00,8.48                     ,
935383,849NTPC25   ,13.56,13.70,13.56,13.58,2747.00,25,37336.00,INE733E07JP6,12.50,8.49                     ,
937057,84TCHF28    ,1102.01,1105.00,1102.01,1105.00,26.00,3,28655.00,INE033L07GU2,1000.00,8.4                      ,
937405,85MFL24     ,960.01,981.75,960.01,971.01,280.00,6,273483.00,INE549K07931,1000.00,8.5                      ,
937437,85MFL24A    ,965.01,965.01,965.01,965.01,25.00,1,24125.00,INE549K07AA4,1000.00,8.5                      ,
936126,865ERFL23   ,930.50,930.50,930.50,930.50,28.00,2,26054.00,INE528S07094,1000.00,8.65                     ,
961830,865IRFC29   ,1270.00,1270.00,1270.00,1270.00,142.00,1,180340.00,INE053F07686,1000.00,8.65                     ,
936810,865TCFS27   ,1130.05,1135.00,1130.00,1135.00,40.00,6,45225.00,INE306N07LM5,1000.00,8.65                     ,
961737,870LTFL22A  ,1000.00,1025.00,1000.00,1022.00,60.00,8,61359.00,INE691I07299,1000.00,8.70                     ,
961738,870LTFL22B  ,2166.00,2167.30,2166.00,2167.29,133.00,14,288201.00,INE691I07307,1000.00,8.70                     ,
961779,871REC28    ,1274.10,1285.00,1274.10,1285.00,281.00,5,359450.00,INE020B07HS2,1000.00,8.71                     ,
935740,872MMFSL26  ,1149.00,1150.00,1149.00,1150.00,594.00,11,683000.00,INE774D08LU6,1000.00,8.72                     ,
950498,872PFC22    ,5485.00,5485.00,5485.00,5485.00,4.00,1,21940.00,INE134E07232,5000.00,8.72                     ,
961809,873NTPC28   ,1265.00,1299.99,1265.00,1299.99,39.00,3,50409.00,INE733E07JI1,1000.00,8.73                     ,
936004,875MFL22    ,1005.00,1005.00,1005.00,1005.00,20.00,1,20100.00,INE414G07CA5,1000.00,8.75                     ,
961826,875NHAI29   ,1284.00,1284.00,1284.00,1284.00,1290.00,7,1656360.00,INE906B07DF8,1000.00,8.75                     ,
958959,875SBIPERA  ,1081000.00,1082000.00,1081000.00,1082000.00,2.00,2,2163000.00,INE062A08215,1000000.00,8.75                     ,
961814,876HUDCO24  ,1134.00,1134.00,1132.21,1132.21,5.00,2,5666.00,INE031A07998,1000.00,8.76                     ,
961897,880IIFCL34  ,1410.00,1410.00,1410.00,1410.00,10.00,1,14100.00,INE787H07438,1000.00,8.8                      ,
961839,880IREDA29  ,1277.15,1277.15,1277.15,1277.15,25.00,1,31928.00,INE202E07138,1000.00,8.80                     ,
936286,880TCFSL21  ,1060.01,1060.01,1060.00,1060.01,300.00,3,318001.00,INE306N07KD6,1000.00,8.80                     ,
956281,885HDFC99   ,1030000.00,1030000.00,1030000.00,1030000.00,1.00,1,1030000.00,INE040A08377,1000000.00,8.85                     ,
936814,885TCFS29   ,1139.05,1139.05,1139.05,1139.05,40.00,2,45562.00,INE306N08342,1000.00,8.85                     ,
961885,888IRFC29   ,1298.00,1310.00,1292.00,1310.00,51.00,3,66078.00,INE053F07744,1000.00,8.88                     ,
936524,889LTFL24   ,1070.01,1070.01,1060.00,1062.39,56.00,8,59652.00,INE027E07956,1000.00,8.89                     ,
936290,890TCFSL23  ,1107.00,1107.00,1105.00,1106.90,100.00,8,110679.00,INE306N07KF1,1000.00,8.90                     ,
961822,891IIFCL34  ,1421.00,1421.00,1421.00,1421.00,200.00,4,284200.00,INE787H07370,1000.00,8.91                     ,
961792,892NHPC33   ,1420.00,1420.00,1420.00,1420.00,75.00,1,106500.00,INE848E07567,1000.00,8.92                     ,
972885,893PTCIF22A ,10791.10,10791.10,10791.10,10791.10,4.00,2,43164.00,INE560K07094,5000.00,8.93                     ,
936532,898LTFL29   ,1170.00,1170.00,1150.00,1150.00,81.00,13,93210.00,INE027E07998,1000.00,8.98                     ,
935852,89IBHFL21B  ,1040.00,1044.80,1040.00,1044.36,91.00,5,94988.00,INE148I07GF5,1000.00,8.9                      ,
961731,8IRFC230222 ,1073.25,1073.25,1073.25,1073.25,1.00,1,1073.00,INE053F07520,1000.00,8                        ,
936010,900MFL22A   ,1016.00,1016.65,1016.00,1016.44,300.00,3,304933.00,INE414G07CD9,1000.00,9.00                     ,
961816,901HUDCO34  ,1455.00,1455.00,1455.00,1455.00,48.00,4,69840.00,INE031A07AB2,1000.00,9.01                     ,
936574,905LTFL27   ,1137.00,1137.00,1137.00,1137.00,13.00,1,14781.00,INE027E07AL1,1000.00,9.05                     ,
936404,905MMFSL22  ,1021.00,1023.26,1021.00,1023.26,125.00,5,127837.00,INE774D07SS7,1000.00,9.05                     ,
935908,905RHFL22B  ,180.00,180.00,180.00,180.00,1.00,1,180.00,INE217K07AE0,1000.00,9.05                     ,
937491,910EFSL24   ,953.40,975.00,953.40,970.71,60.00,9,57869.00,INE532F07BV4,1000.00,9.10                     ,29/04/2024
936294,910TCFSL28  ,1200.00,1200.00,1200.00,1200.00,24.00,2,28800.00,INE306N08292,1000.00,9.10                     ,
936452,912STFCL24  ,1020.00,1028.00,1019.00,1027.91,212.00,8,216326.00,INE721A07OM6,1000.00,9.12                     ,
935912,915RHFL27B  ,175.00,205.00,175.00,184.95,290.00,8,55045.00,INE217K07AG5,1000.00,9.15                     ,
937495,916EFSL26   ,990.00,990.00,978.00,981.65,160.00,17,157434.00,INE532F07BX0,1000.00,9.16                     ,29/04/2026
936176,91SEFL21    ,435.00,435.00,435.00,435.00,5.00,1,2175.00,INE881J07FE4,1000.00,9.10                     ,
936232,91STFCL21   ,1070.01,1074.00,1070.01,1074.00,70.00,3,74980.00,INE721A07NV9,1000.00,9.10                     ,
936316,925AHFL23   ,1030.00,1030.00,1012.00,1012.00,80.00,2,81500.00,INE538L07502,1000.00,9.25                     ,
936246,925EFL23    ,952.00,966.99,952.00,966.99,85.00,2,81069.00,INE804I075Y4,1000.00,9.25                     ,
936216,925JMFCSL21 ,1085.00,1085.00,1085.00,1085.00,2.00,2,2170.00,INE651J07580,1000.00,9.25                     ,
936598,926SCUF22   ,1015.00,1015.00,1011.05,1011.05,25.00,2,25315.00,INE722A07919,1000.00,9.26                     ,
936528,935LTFL29   ,1184.10,1208.00,1184.10,1208.00,125.00,6,148256.00,INE027E07972,1000.00,9.35                     ,
936480,935MFL22    ,1005.00,1005.00,1005.00,1005.00,150.00,1,150750.00,INE522D07AU4,1000.00,9.35                     ,
937339,939EFSL26   ,970.00,970.00,970.00,970.00,10.00,1,9700.00,INE532F07BM3,1000.00,9.39                     ,
936412,93MMFSL27   ,1123.55,1123.55,1123.55,1123.55,1.00,1,1123.00,INE774D07SW9,1000.00,9.3                      ,
936786,93STF22     ,1067.80,1067.80,1067.80,1067.80,40.00,1,42712.00,INE721A07PB6,1000.00,9.3                      ,
936234,93STFCL23   ,1092.00,1092.00,1092.00,1092.00,100.00,1,109200.00,INE721A07NW7,1000.00,9.30                     ,
935351,940IFCI25   ,1085.00,1085.00,1084.00,1084.00,2.00,2,2169.00,INE039A07843,1000.00,9.40                     ,
935996,950SEFL22   ,350.00,350.00,350.00,350.00,203.00,7,71050.00,INE872A07UJ0,1000.00,9.50                     ,
936118,950SEFL28   ,390.00,390.00,390.00,390.00,2.00,2,780.00,INE872A08DJ4,1000.00,9.50                     ,
936330,950STFCL23  ,1070.00,1070.00,1070.00,1070.00,35.00,1,37450.00,INE721A07OE3,1000.00,9.50                     ,
936220,95JMFCSL23  ,1101.00,1101.00,1101.00,1101.00,1.00,1,1101.00,INE651J07606,1000.00,9.5                      ,
936728,95MFL22     ,1025.00,1025.00,1025.00,1025.00,51.00,2,52275.00,INE414G07DI6,1000.00,9.50                     ,
936914,95MFL22A    ,1010.00,1010.00,1010.00,1010.00,38.00,1,38380.00,INE549K07451,1000.00,9.5                      ,
936928,95MFL23     ,1025.00,1025.00,1025.00,1025.00,100.00,1,102500.00,INE414G07DU1,1000.00,9.5                      ,
937021,95MFL23A    ,1015.00,1027.00,1015.00,1027.00,115.00,2,118093.00,INE414G07EI4,1000.00,9.5                      ,
937209,95MMFL21    ,1000.00,1000.00,990.00,990.00,90.00,4,89500.00,INE101Q07656,1000.00,9.5                      ,
937261,95MMFL22    ,990.00,990.00,990.00,990.00,1.00,1,990.00,INE101Q07722,1000.00,9.5                      ,
937423,95MMFL23    ,961.00,979.00,941.05,979.00,15.00,4,14325.00,INE101Q07870,1000.00,9.5                      ,
936382,967JMFCSL23 ,1025.00,1025.00,1025.00,1025.00,1.00,1,1025.00,INE651J07671,1000.00,9.67                     ,
937455,96IFL28     ,999.05,1011.00,999.05,1011.00,269.00,7,270401.00,INE530B08102,1000.00,9.6                      ,
936188,96SEFL28    ,310.00,310.00,310.00,310.00,100.00,1,31000.00,INE881J07FK1,1000.00,9.60                     ,
937503,970EFSL31   ,1000.00,1000.00,1000.00,1000.00,1.00,1,1000.00,INE532F07CB4,1000.00,9.70                     ,29/04/2031
936224,975JMFCSL28 ,1125.00,1125.00,1110.00,1124.00,590.00,6,658645.00,INE651J07622,1000.00,9.75                     ,
936734,975MFL22AA  ,1071.08,1071.08,1071.08,1071.08,100.00,1,107108.00,INE414G07DL0,1000.00,9.75                     ,
936730,975MFL24AA  ,1010.00,1049.00,1005.10,1049.00,360.00,7,366786.00,INE414G07DJ4,1000.00,9.75                     ,
936930,975MFL24B   ,1050.00,1050.00,1050.00,1050.00,40.00,1,42000.00,INE414G07DV9,1000.00,9.75                     ,
937023,975MFL24BB  ,1059.90,1096.00,1001.10,1037.00,372.00,4,406762.00,INE414G07EJ2,1000.00,9.75                     ,
936646,975MHIL22   ,1060.00,1060.00,1060.00,1060.00,5.00,1,5300.00,INE652X07050,1000.00,9.75                     ,
936602,975SCUF24   ,1035.00,1070.00,1030.00,1039.00,832.00,18,874680.00,INE722A07935,1000.00,9.75                     ,
937077,97EFIL21    ,1001.80,1003.50,1001.80,1003.50,185.00,2,185630.00,INE918K07FN3,1000.00,9.70                     ,
